timestamp,tipo,codigo_material,campo,valor_antes,valor_depois,motivo
2026-03-02T19:28:05.674102,PRECO_ZERADO,MAT-00088,preco_unitario,0.0,9.99,Aplicada mediana categoria EPI
2026-03-02T19:28:05.675120,PRECO_ZERADO,MAT-00093,preco_unitario,0.0,9.5,Aplicada mediana categoria Peças
2026-03-02T19:28:05.676284,PRECO_ZERADO,MAT-00269,preco_unitario,0.0,9.43,Aplicada mediana categoria Limpeza
2026-03-02T19:28:05.682151,PRECO_ZERADO,MAT-00330,preco_unitario,0.0,16.77,Aplicada mediana categoria Pneumático
2026-03-02T19:28:05.682151,PRECO_ZERADO,MAT-00344,preco_unitario,0.0,9.5,Aplicada mediana categoria Peças
2026-03-02T19:28:05.683664,PRECO_ZERADO,MAT-00370,preco_unitario,0.0,13.7,Aplicada mediana categoria Acessórios
2026-03-02T19:28:05.683664,PRECO_ZERADO,MAT-00433,preco_unitario,0.0,11.225000000000001,Aplicada mediana categoria Químico
2026-03-02T19:28:05.685071,PRECO_ZERADO,MAT-00436,preco_unitario,0.0,13.7,Aplicada mediana categoria Acessórios
2026-03-02T19:28:05.687082,PRECO_ZERADO,MAT-00513,preco_unitario,0.0,8.554876500998777,Aplicada mediana categoria Escritório
2026-03-02T19:28:05.688148,PRECO_ZERADO,MAT-00537,preco_unitario,0.0,9.89,Aplicada mediana categoria Hidráulico
2026-03-02T19:28:05.688148,PRECO_ZERADO,MAT-00625,preco_unitario,0.0,16.77,Aplicada mediana categoria Pneumático
2026-03-02T19:28:05.690148,PRECO_ZERADO,MAT-00661,preco_unitario,0.0,8.855,Aplicada mediana categoria Embalagem
2026-03-02T19:28:05.691144,PRECO_ZERADO,MAT-00771,preco_unitario,0.0,16.77,Aplicada mediana categoria Pneumático
2026-03-02T19:28:05.691144,PRECO_ZERADO,MAT-00801,preco_unitario,0.0,9.91,Aplicada mediana categoria Eletrônico
2026-03-02T19:28:05.692584,PRECO_ZERADO,MAT-00807,preco_unitario,0.0,23.316218837007426,Aplicada mediana categoria Lubrificante
2026-03-02T19:28:05.692584,PRECO_ZERADO,MAT-00845,preco_unitario,0.0,9.89,Aplicada mediana categoria Hidráulico
2026-03-02T19:28:05.694090,PRECO_ZERADO,MAT-00884,preco_unitario,0.0,9.5,Aplicada mediana categoria Peças
2026-03-02T19:28:05.696241,PRECO_ZERADO,MAT-00928,preco_unitario,0.0,8.554876500998777,Aplicada mediana categoria Escritório
2026-03-02T19:28:05.696241,PRECO_ZERADO,MAT-00929,preco_unitario,0.0,9.99,Aplicada mediana categoria EPI
2026-03-02T19:28:05.697277,PRECO_ZERADO,MAT-01092,preco_unitario,0.0,11.225000000000001,Aplicada mediana categoria Químico
2026-03-02T19:28:05.697277,PRECO_ZERADO,MAT-01121,preco_unitario,0.0,9.99,Aplicada mediana categoria EPI
2026-03-02T19:28:05.698273,PRECO_ZERADO,MAT-01164,preco_unitario,0.0,20.935000000000002,Aplicada mediana categoria Mecânico
2026-03-02T19:28:05.698273,PRECO_ZERADO,MAT-01197,preco_unitario,0.0,11.225000000000001,Aplicada mediana categoria Químico
2026-03-02T19:28:05.699397,PRECO_ZERADO,MAT-01212,preco_unitario,0.0,9.89,Aplicada mediana categoria Hidráulico
2026-03-02T19:28:05.699397,PRECO_ZERADO,MAT-01243,preco_unitario,0.0,8.554876500998777,Aplicada mediana categoria Escritório
